FungusID,Species,PaperID,Temperature,Time,Radius
C35_33_1,C35,37,33,312,10
C35_33_2,C35,38,33,48,9
C35_33_2,C35,38,33,96,11.5
C35_33_2,C35,38,33,144,12
C35_33_2,C35,38,33,216,12
C35_33_2,C35,38,33,264,12.5
C35_33_2,C35,38,33,312,13
DF17_33_1,DF17,39,33,48,5
DF17_33_1,DF17,39,33,96,5.5
DF17_33_1,DF17,39,33,144,6.5
DF17_33_1,DF17,39,33,216,8
DF17_33_1,DF17,39,33,264,10
DF17_33_1,DF17,39,33,312,11.5
DF17_33_2,DF17,40,33,48,5
DF17_33_2,DF17,40,33,96,5.5
DF17_33_2,DF17,40,33,144,6.5
DF17_33_2,DF17,40,33,216,8
DF17_33_2,DF17,40,33,264,10
DF17_33_2,DF17,40,33,312,11
DF58_33_1,DF58,41,33,48,5
DF58_33_1,DF58,41,33,96,7
DF58_33_1,DF58,41,33,144,9
DF58_33_1,DF58,41,33,216,13
DF58_33_1,DF58,41,33,264,15.5
DF58_33_1,DF58,41,33,312,18.5
DF58_33_2,DF58,42,33,48,6
DF58_33_2,DF58,42,33,96,7.5
DF58_33_2,DF58,42,33,144,9.5
DF58_33_2,DF58,42,33,216,13
DF58_33_2,DF58,42,33,264,15.5
DF58_33_2,DF58,42,33,312,18.5
DF10_33_1,DF10,43,33,48,9
DF10_33_1,DF10,43,33,96,12
DF10_33_1,DF10,43,33,144,15
DF10_33_1,DF10,43,33,216,19
DF10_33_1,DF10,43,33,264,22
DF10_33_1,DF10,43,33,312,24
DF10_33_2,DF10,44,33,48,9
DF10_33_2,DF10,44,33,96,13
DF10_33_2,DF10,44,33,144,15.5
DF10_33_2,DF10,44,33,216,18.5
DF10_33_2,DF10,44,33,264,21
DF10_33_2,DF10,44,33,312,23
DF56_33_1,DF56,45,33,48,6.5
DF56_33_1,DF56,45,33,96,7
DF56_33_1,DF56,45,33,144,7.5
DF56_33_1,DF56,45,33,216,8
DF56_33_1,DF56,45,33,264,8.5
DF56_33_1,DF56,45,33,312,9
DF56_33_2,DF56,46,33,48,7
DF56_33_2,DF56,46,33,96,7.5
DF56_33_2,DF56,46,33,144,8
DF56_33_2,DF56,46,33,216,8.5
DF56_33_2,DF56,46,33,264,9
DF56_33_2,DF56,46,33,312,9
DF37_33_1,DF37,47,33,48,5
DF37_33_1,DF37,47,33,96,5.5
DF37_33_1,DF37,47,33,144,6
DF37_33_1,DF37,47,33,216,7
DF37_33_1,DF37,47,33,264,7.5
DF37_33_1,DF37,47,33,312,8.5
DF37_33_2,DF37,48,33,48,5
DF37_33_2,DF37,48,33,96,5.5
DF37_33_2,DF37,48,33,144,6
DF37_33_2,DF37,48,33,216,7
DF37_33_2,DF37,48,33,264,8
DF37_33_2,DF37,48,33,312,9
M_33_1,M,49,33,48,12
M_33_1,M,49,33,96,22.5
M_33_1,M,49,33,144,29
M_33_1,M,49,33,216,39
M_33_1,M,49,33,264,42
M_33_1,M,49,33,312,42
M_33_2,M,50,33,48,13
M_33_2,M,50,33,96,22.5
M_33_2,M,50,33,144,29
M_33_2,M,50,33,216,39
M_33_2,M,50,33,264,44
M_33_2,M,50,33,312,44
C31_33_1,C31,NA,33,48,4
C31_33_1,C31,NA,33,96,4
C31_33_1,C31,NA,33,144,4
C31_33_1,C31,NA,33,216,4
C31_33_1,C31,NA,33,264,4
C31_33_1,C31,NA,33,312,4
C31_33_2,C31,NA,33,48,3.5
C31_33_2,C31,NA,33,96,3.5
C31_33_2,C31,NA,33,144,4
C31_33_2,C31,NA,33,216,4
C31_33_2,C31,NA,33,264,4
C31_33_2,C31,NA,33,312,4.5
C34_33_1,C34,NA,33,48,4.5
C34_33_1,C34,NA,33,96,4.5
C34_33_1,C34,NA,33,144,4.5
C34_33_1,C34,NA,33,216,4.5
C34_33_1,C34,NA,33,264,4.5
C34_33_1,C34,NA,33,312,4.5
C34_33_2,C34,NA,33,48,4
C34_33_2,C34,NA,33,96,4.5
C34_33_2,C34,NA,33,144,4.5
C34_33_2,C34,NA,33,216,4.5
C34_33_2,C34,NA,33,264,4.5
C34_33_2,C34,NA,33,312,5
C21_33_1,C21,NA,33,48,4
C21_33_1,C21,NA,33,96,4
C21_33_1,C21,NA,33,144,4
C21_33_1,C21,NA,33,216,4
C21_33_1,C21,NA,33,264,4
C21_33_1,C21,NA,33,312,4
C21_33_2,C21,NA,33,48,4
C21_33_2,C21,NA,33,96,4
C21_33_2,C21,NA,33,144,4
C21_33_2,C21,NA,33,216,4
C21_33_2,C21,NA,33,264,4
C21_33_2,C21,NA,33,312,4
DF13_33_1,DF13,NA,33,48,4
DF13_33_1,DF13,NA,33,96,4
DF13_33_1,DF13,NA,33,144,4
DF13_33_1,DF13,NA,33,216,4
DF13_33_1,DF13,NA,33,264,4
DF13_33_1,DF13,NA,33,312,4
DF13_33_2,DF13,NA,33,48,4.5
DF13_33_2,DF13,NA,33,96,4.5
DF13_33_2,DF13,NA,33,144,4.5
DF13_33_2,DF13,NA,33,216,4.5
DF13_33_2,DF13,NA,33,264,4.5
DF13_33_2,DF13,NA,33,312,4.5
A_33_1,A,NA,33,48,4.5
A_33_1,A,NA,33,96,4.5
A_33_1,A,NA,33,144,4.5
A_33_1,A,NA,33,216,4.5
A_33_1,A,NA,33,264,4.5
A_33_1,A,NA,33,312,4.5
A_33_2,A,NA,33,48,3.5
A_33_2,A,NA,33,96,3.5
A_33_2,A,NA,33,144,3.5
A_33_2,A,NA,33,216,3.5
A_33_2,A,NA,33,264,3.5
A_33_2,A,NA,33,312,3.5
J_33_1,J,NA,33,48,4
J_33_1,J,NA,33,96,4
J_33_1,J,NA,33,144,4
J_33_1,J,NA,33,216,4
J_33_1,J,NA,33,264,4
J_33_1,J,NA,33,312,4
J_33_2,J,NA,33,48,4
J_33_2,J,NA,33,96,4
J_33_2,J,NA,33,144,4
J_33_2,J,NA,33,216,4
J_33_2,J,NA,33,264,4
J_33_2,J,NA,33,312,4
DF35_33_1,DF35,NA,33,48,3.5
DF35_33_1,DF35,NA,33,96,3.5
DF35_33_1,DF35,NA,33,144,3.5
DF35_33_1,DF35,NA,33,216,3.5
DF35_33_1,DF35,NA,33,264,3.5
DF35_33_1,DF35,NA,33,312,3.5
DF36_33_1,DF36,NA,33,48,4
DF36_33_1,DF36,NA,33,96,4
DF36_33_1,DF36,NA,33,144,4
DF36_33_1,DF36,NA,33,216,4.5
DF36_33_1,DF36,NA,33,264,4.5
DF36_33_1,DF36,NA,33,312,4.5
C28_30_1,C28,51,30,48,10.5
C28_30_1,C28,51,30,96,19
C28_30_1,C28,51,30,144,25
C28_30_1,C28,51,30,216,34.5
C28_30_1,C28,51,30,264,40.5
C28_30_1,C28,51,30,312,43
C28_30_2,C28,52,30,48,10.5
C28_30_2,C28,52,30,96,20
C28_30_2,C28,52,30,144,27
C28_30_2,C28,52,30,216,35
C28_30_2,C28,52,30,264,41
C28_30_2,C28,52,30,312,43
DF56_30_1,DF56,53,30,48,15
DF56_30_1,DF56,53,30,96,20.5
DF56_30_1,DF56,53,30,144,32
DF56_30_1,DF56,53,30,216,33.5
DF56_30_1,DF56,53,30,264,35
DF56_30_1,DF56,53,30,312,38
DF56_30_2,DF56,54,30,48,15
DF56_30_2,DF56,54,30,96,45
DF56_30_2,DF56,54,30,144,45
DF56_30_2,DF56,54,30,216,45
DF56_30_2,DF56,54,30,264,45
DF56_30_2,DF56,54,30,312,45
DF37_30_1,DF37,55,30,48,7.5
DF37_30_1,DF37,55,30,96,10
DF37_30_1,DF37,55,30,144,12
DF37_30_1,DF37,55,30,216,14
DF37_30_1,DF37,55,30,264,15.5
DF37_30_1,DF37,55,30,312,17
DF37_30_2,DF37,56,30,48,6.5
DF37_30_2,DF37,56,30,96,8
DF37_30_2,DF37,56,30,144,10
DF37_30_2,DF37,56,30,216,12
DF37_30_2,DF37,56,30,264,13
DF37_30_2,DF37,56,30,312,15
DISC_30_1,DISC,57,30,48,4.5
DISC_30_1,DISC,57,30,96,7
DISC_30_1,DISC,57,30,144,9.5
DISC_30_1,DISC,57,30,216,12
DISC_30_1,DISC,57,30,264,13.5
DISC_30_1,DISC,57,30,312,14.5
DISC_30_2,DISC,58,30,48,6
DISC_30_2,DISC,58,30,96,8
DISC_30_2,DISC,58,30,144,10
DISC_30_2,DISC,58,30,216,13
DISC_30_2,DISC,58,30,264,15
DISC_30_2,DISC,58,30,312,17.5
DF09_30_1,DF09,59,30,48,16
DF09_30_1,DF09,59,30,96,27
DF09_30_1,DF09,59,30,144,36.5
DF09_30_1,DF09,59,30,216,42
DF09_30_1,DF09,59,30,264,42
DF09_30_1,DF09,59,30,312,42
DF09_30_2,DF09,60,30,48,14.5
DF09_30_2,DF09,60,30,96,26
DF09_30_2,DF09,60,30,144,36
DF09_30_2,DF09,60,30,216,42
DF09_30_2,DF09,60,30,264,42
DF09_30_2,DF09,60,30,312,42
C11_30_1,C11,61,30,48,6
C11_30_1,C11,61,30,96,10
C11_30_1,C11,61,30,144,14
C11_30_1,C11,61,30,216,19.5
C11_30_1,C11,61,30,264,24
C11_30_1,C11,61,30,312,27.5
C11_30_2,C11,62,30,48,7
C11_30_2,C11,62,30,96,10.5
C11_30_2,C11,62,30,144,14.5
C11_30_2,C11,62,30,216,20
C11_30_2,C11,62,30,264,24
C11_30_2,C11,62,30,312,27
DF19_30_1,DF19,63,30,48,15
DF19_30_1,DF19,63,30,96,26
DF19_30_1,DF19,63,30,144,37.5
DF19_30_1,DF19,63,30,216,45
DF19_30_1,DF19,63,30,264,45
DF19_30_1,DF19,63,30,312,45
DF19_30_2,DF19,64,30,48,17
DF19_30_2,DF19,64,30,96,27
DF19_30_2,DF19,64,30,144,37
DF19_30_2,DF19,64,30,216,42
DF19_30_2,DF19,64,30,264,42
DF19_30_2,DF19,64,30,312,42
FOX_30_1,FOX,65,30,48,14
FOX_30_1,FOX,65,30,96,24
FOX_30_1,FOX,65,30,144,30
FOX_30_1,FOX,65,30,216,35
FOX_30_1,FOX,65,30,264,38
FOX_30_1,FOX,65,30,312,39
FOX_30_2,FOX,66,30,48,13
FOX_30_2,FOX,66,30,96,21
FOX_30_2,FOX,66,30,144,27.5
FOX_30_2,FOX,66,30,216,38
